feature,r_src,r_tgt,abs_diff
w3,-0.048175599454231784,0.07083612803732392,0.1190117274915557
w1,-0.024832981993241583,0.05317070689570306,0.07800368888894464
w4,-0.043304548692161056,0.03165235572510145,0.07495690441726251
w2,0.014362830209255809,0.07411217520413307,0.05974934499487727
l3,0.0027728662721778147,0.05675573897830602,0.053982872706128206
l4,0.02068411402535028,-0.03231044517989378,0.05299455920524406
l1,-0.0048633254186796395,0.04750849407191316,0.0523718194905928
w5,0.03331982849944482,-0.007924269876184942,0.04124409837562976
l2,0.013795794105391461,-0.027253272819493905,0.041049066924885365
cr,-0.01761799657350023,0.022085764360689986,0.039703760934190216
