column,mean_src,mean_tgt,mean_diff_ratio,std_src,std_tgt,std_ratio,coverage_in_src,KS_stat,KS_pvalue,WD,WD_over_std_src
ibias,1e-05,1.601993103448276e-05,0.6019931034482757,0.0,4.8212549717000475e-06,inf,0.3753694581280788,0.6246305418719211,5.74e-321,6.019931034482759e-06,inf
w1,25.49975,26.059006896551725,0.02193185802024438,14.147211361128019,13.201313101225928,0.9331388896541749,1.0,0.1326423645320197,1.348625528920955e-14,2.1973105911330046,0.15531757708593416
w3,25.49975,19.282333990147784,-0.24382262609838196,14.14713183197948,11.671963732827953,0.8250409956909831,1.0,0.28383004926108374,4.4325299995093816e-66,6.217589901477832,0.43949473118098886
w2,25.50005,24.460004926108372,-0.04078600135653184,14.147513569935926,12.881954451484207,0.9105454741431677,1.0,0.1460458128078818,1.2959628620517526e-17,1.8435744137931036,0.13031084258585046
w5,25.49955,28.34585911330049,0.1116219350263237,14.147267909968752,9.454567346052311,0.6682963386443138,1.0,0.2721817733990148,1.0135952683788423e-60,5.1635440886699495,0.36498524814331834
l1,1.25,1.3304623645320197,0.06436989162561577,0.47877230735729615,0.44098392956707083,0.921072340213644,1.0,0.09280837438423645,2.3300645745418365e-07,0.08046236453201971,0.16805977141023865
l2,1.25,1.2078906403940888,-0.03368748768472898,0.4786678517419246,0.35377340799196905,0.73907910611617,1.0,0.1252206896551724,4.722033536730735e-13,0.12212807881773398,0.2551415942668733
w4,25.5,33.14298719211823,0.299724987926205,14.147404882397714,11.552014769278076,0.8165465585600905,1.0,0.3006379310344828,3.077440974837892e-74,7.752479802955666,0.5479789309346301
l3,1.25005,1.1624997044334975,-0.07003743495580386,0.4787200797872167,0.508269894127172,1.0617267075011556,1.0,0.10926206896551724,4.903305217494135e-10,0.08755029556650243,0.182884109656351
l4,1.25005,0.7178347783251232,-0.42575514713401613,0.47872007978721676,0.39198755085081066,0.8188241258337079,1.0,0.5614788177339901,3.1563762010565884e-272,0.5322152216748768,1.111746183513835
cc,1.0499999999999998e-12,1.3703600000000002e-12,0.30510476190476243,5.500329568538257e-13,4.960595201491168e-13,0.49605952014911675,1.0,0.25982463054187194,2.696453718894371e-55,3.2035999999999996e-13,0.32036
l5,1.25,1.1620333990147782,-0.07037328078817744,0.47877230735729615,0.6040618324753066,1.2616891645416533,1.0,0.18502413793103448,4.516296081814652e-28,0.19835428571428573,0.414297741674225
cr,50249.95,38552.50935960591,-0.23278511999303658,28725.08856502982,24184.86485015326,0.8419422204879163,1.0,0.3581152709359606,5.038595325685127e-106,14582.533743842365,0.507658443274402
